class,filename,xmax,xmin,ymax,ymin
red_sign,00000.jpg,815,774,446,411
red_sign,00001.jpg,1031,973,390,335
red_sign,00003.jpg,765,742,466,443
red_sign,00003.jpg,764,742,489,466
red_sign,00003.jpg,769,737,443,412
red_sign,00004.jpg,967,898,409,342
red_sign,00004.jpg,955,906,459,407
red_sign,00005.jpg,1284,1172,278,164
red_sign,00006.jpg,989,926,414,350
red_sign,00007.jpg,864,825,445,406
red_sign,00008.jpg,811,785,486,460
red_sign,00009.jpg,949,925,490,466
red_sign,00011.jpg,770,720,398,338
red_sign,00011.jpg,780,710,342,265
red_sign,00012.jpg,1034,979,418,364
red_sign,00013.jpg,1120,1043,356,281
red_sign,00014.jpg,732,712,511,492
red_sign,00015.jpg,808,770,462,426
red_sign,00017.jpg,1031,908,408,302
red_sign,00017.jpg,598,575,515,495
red_sign,00018.jpg,981,950,486,455
red_sign,00019.jpg,888,845,465,423
red_sign,00020.jpg,862,825,463,428
red_sign,00021.jpg,877,825,437,388
red_sign,00022.jpg,692,667,497,472
red_sign,00023.jpg,1074,998,371,292
red_sign,00023.jpg,136,46,444,350
red_sign,00023.jpg,1006,945,492,435
red_sign,00024.jpg,143,112,492,463
red_sign,00025.jpg,772,731,459,422
red_sign,00026.jpg,492,453,451,411
red_sign,00027.jpg,1024,969,441,386
red_sign,00027.jpg,157,102,430,375
red_sign,00028.jpg,833,775,453,399
red_sign,00029.jpg,1133,1091,436,393
red_sign,00031.jpg,812,763,473,426
red_sign,00032.jpg,707,678,469,443
red_sign,00034.jpg,899,866,460,430
red_sign,00035.jpg,714,678,474,439
red_sign,00040.jpg,1141,1017,313,202
red_sign,00042.jpg,995,916,374,300
red_sign,00047.jpg,579,553,488,462
red_sign,00048.jpg,815,771,443,405
red_sign,00050.jpg,972,941,372,339
red_sign,00053.jpg,1196,1156,372,333
red_sign,00054.jpg,1152,1113,473,436
red_sign,00054.jpg,1146,1117,502,473
red_sign,00055.jpg,747,702,455,413
red_sign,00056.jpg,760,729,467,436
red_sign,00057.jpg,1036,990,467,418
red_sign,00060.jpg,842,819,464,441
red_sign,00061.jpg,1285,1224,394,333
